"AMOSTRAS","Quadrante","Count","Area","Total_Area","%Area","Perimetro","Major_E","Minor_E","Angle","Circularidade","Solidity","Feret","FeretX","Feret y","FeretAngle","MinFeret"
"7803-7","Q4","299","24.257525083612041","72.53","57.57","86.3","33.26","2.3929999999999998","60.281999999999996","0.68","0.997","37.82","97.96","102.706","112.747","2.496"
"7878-18","Q1","339","17","57.63","47.29","78.94","27.81","2.121","73.055000000000007","0.94399999999999995","0.89400000000000002","30.77","252.1","235.85300000000001","100.462","2.2330000000000001"
"7878-18","Q2","424","11.875","50.35","51.28","71.37","25.05","1.956","69.935000000000002","0.95299999999999996","0.89600000000000002","27.8","241.62299999999999","251.28800000000001","101.872","2.0499999999999998"
"7878-18","Q3","352","16.71590909090909","58.84","51.69","78.87","27.73","2.0960000000000001","77.040000000000006","0.86599999999999999","1","30.55","248.78700000000001","237.55699999999999","104.27200000000001","2.206"
"7878-18","Q4","430","11.4","49.02","52.5","70.489999999999995","24.61","1.9460000000000002","69.858999999999995","0.95299999999999996","0.90100000000000002","27.39","256.267","245.92599999999999","102.92400000000001","2.0259999999999998"
"Aipim Brasilia","Q1","594","58.878300000000003","99.12","58.5","33.61","11.2","9.41","85.26","0.93","0.9","12.23","492.83","501.36","93.72","9.77"
"Aipim Brasilia","Q2","582","11.327439862542954","65.925699999999992","66.599999999999994","36.343000000000004","12.187000000000001","9.6829999999999998","87.067999999999998","0.91200000000000003","0.89700000000000002","13.178999999999998","483.18400000000003","487.495","97.501000000000005","1.0151999999999999"
"Aipim Brasilia","Q3","569","12.080070298769773","68.735600000000005","68.25","37.749000000000002","12.599","9.8450000000000006","86.334999999999994","0.89500000000000002","0.89300000000000002","13.648","476.012","505.87","92.230999999999995","1.0413000000000001"
"Aipim Brasilia","Q4","571","11.816654991243434","67.473100000000002","66.19","37.077999999999996","12.446","9.7910000000000004","86.671000000000006","0.91","0.89700000000000002","13.463999999999999","510.87400000000002","475.85300000000001","95.298000000000002","1.0286"
"Aipim Brasilia","Q1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aipim Brasilia","Q2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aipim Brasilia","Q3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aipim Brasilia","Q4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Aipim Guanambi","Q1","630","12.94","20.55","12.9","12.48","46.5","3.39","48.34","0.94","0.95","50.8","530.55999999999995","507.02","117.64","3.45"
"Aipim Guanambi","Q2","458","7.1065502183406117","32.548000000000002","32.32","26.637999999999998","89.66","6.9689999999999994","73.102999999999994","0.90800000000000003","0.9","98.86","491.27699999999999","510.55500000000001","101.83499999999999","7.3639999999999999"
"Aipim Guanambi","Q3","495","6.8270101010101012","33.793700000000001","33.15","26.211000000000002","89.35","6.9980000000000002","74.822000000000003","0.92700000000000005","0.90600000000000003","97.97","467.89499999999998","505.75200000000001","98.706999999999994","7.3129999999999997"
"Aipim Guanambi","Q4","417","4.331007194244604","18.060299999999998","18.25","20.175000000000001","69.739999999999995","5.4870000000000001","66.058999999999997","0.94299999999999995","0.91200000000000003","77.08","483.209","523.16300000000001","108.253","5.72"
"Baianinha","Q1","361","26.1","72.3","65.010000000000005","91.4","40.79","2.4420000000000002","73.591999999999999","0.90900000000000003","0.95099999999999996","34.99","251.94200000000001","248.52099999999999","99.885000000000005","2.4649999999999999"
"Baianinha","Q2","354","19.014124293785311","67.31","59.83","87.6","30.28","2.226","75.491","0.92","0.88800000000000001","33.479999999999997","248.68100000000001","250.97499999999999","100.911","2.3780000000000001"
"Baianinha","Q3","369","20.149051490514903","74.349999999999994","65.77","93.02","32.72","2.3420000000000001","78.147000000000006","0.69899999999999995","0.998","35.74","248.86699999999999","253.10599999999999","97.366","2.4929999999999999"
"Baianinha","Q4","361","20.02770083102493","72.3","65.010000000000005","91.4","31.97","2.3260000000000001","73.591999999999999","0.91800000000000004","0.89","34.99","251.94200000000001","248.52099999999999","99.885000000000005","2.4649999999999999"
"BGM 1060","Q1","607","11.777594728171334","71.489999999999995","10.586","90.36","31.74","2.2250000000000001","72.331999999999994","0.91300000000000003","0.88","35.46","193.46100000000001","201.37200000000001","105.188","2.4089999999999998"
"BGM 1060","Q2","453","20.690949227373068","93.73","10.51","10.209","38.43","2.4980000000000002","60.429000000000002","0.92100000000000004","0.89200000000000002","43.61","101.845","99.625","110.678","2.7189999999999999"
"BGM 1060","Q3","521","18.635316698656428","97.09","13.100999999999999","10.495999999999999","38.840000000000003","2.496","56.765999999999998","0.91100000000000003","0.88300000000000001","44.29","101.747","99.820999999999998","109.35299999999999","2.7450000000000001"
"BGM 1060","Q4","549","13.664845173041895","75.02","10.933","89.28","33.89","2.2489999999999997","53.835999999999999","0.74","0.91400000000000003","38.75","97.61","102.953","112.06100000000001","2.427"
"BGM-0018","Q1","439","50.825000000000003","11.577999999999999","50.5","36.630000000000003","12.23","1.0050000000000001","87.99","0.92","0.9","13.27","488.36","492.798","98.17","1.0449999999999999"
"BGM-0018","Q2","425","14.839223529411765","63.066699999999997","61.87","42.561","14.196999999999999","1.083","83.918999999999997","0.88300000000000001","0.89600000000000002","15.263","497.30399999999997","502.04700000000003","92.602999999999994","1.1484999999999999"
"BGM-0018","Q3","439","11.577562642369021","50.825500000000005","50.5","36.630000000000003","12.23","1.0050000000000001","87.99","0.92","0.9","13.27","488.36","485.11","98.17","1.0449999999999999"
"BGM-0018","Q4","398","12.566331658291457","50.013999999999996","50.53","38.744","12.815000000000001","1.0224","87.537999999999997","0.90100000000000002","0.89800000000000002","13.877000000000001","496.839","480.97","95.938999999999993","1.0721000000000001"
"BGM-0032","Q1","471","9.0339702760084926","42.55","49.86","70.55","23.84","1.8679999999999999","85.945999999999998","0.91100000000000003","0.89900000000000002","25.78","481.84899999999999","504.97899999999998","97.441000000000003","1.9650000000000001"
"BGM-0032","Q2","608","9.6315789473684212","58.56","89.39","83.8","29.25","2.097","76.622","0.91300000000000003","0.88500000000000001","32.31","241.28299999999999","248.38200000000001","100.824","2.2370000000000001"
"BGM-0032","Q3","471","10.929936305732484","51.48","60.5","75.38","26.87","1.98","78.921999999999997","0.85699999999999998","0.999","29.67","249.05699999999999","253.881","102.782","2.0990000000000002"
"BGM-0032","Q4","508","10.952755905511811","55.64","70.400000000000006","80.430000000000007","28.3","2.0720000000000001","80.388999999999996","0.92600000000000005","0.88500000000000001","31.29","244.67699999999999","252.04900000000001","103.117","2.2109999999999999"
"BGM-0035","Q1","342","5.3551754385964916","18.314700000000002","49.59","23.574999999999999","84.56","6.6859999999999999","72.686000000000007","0.96799999999999997","0.90500000000000003","94.25","193.59899999999999","189.69","102.12","6.9"
"BGM-0035","Q2","299","7.4511705685618734","22.279","23.2","27.216000000000001","10.145999999999999","7.891","65.626999999999995","0.97899999999999998","0.91300000000000003","11.52","180.46799999999999","199.88300000000001","110.813","8.0649999999999995"
